name,address,place_in_rating,average_rating,curl
Швабен Келлер,"Канала Грибоедова наб., 5, Санкт-Петербург 191186 Россия",0.634375,"3,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7695460-Reviews-Shwaben_Keller-St_Petersburg_Northwestern_District.html
Фк Барселона,"Римского-Корсакова проспект, 15, Санкт-Петербург 190068 Россия",0.6853766617429837,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346438-Reviews-Fc_Barcelona-St_Petersburg_Northwestern_District.html
Тапрум Бир Шоп & Бар,"Композиторов, 12а, Санкт-Петербург 194355 Россия",0.6883308714918759,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8350520-Reviews-Taproom_Beer_Shop_Bar-St_Petersburg_Northwestern_District.html
Rock Pub,"Коломяжский проспект, 15-2, Санкт-Петербург Россия",0.646875,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7272192-Reviews-Rock_Pub-St_Petersburg_Northwestern_District.html
Fusion Food & Beer,"Мосина, 8, Сестрорецк, Санкт-Петербург 197706 Россия",0.4411764705882353,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g2345793-d14983549-Reviews-Fusion_Food_Beer-Sestroretsk_Kurortny_District_St_Petersburg_Northwestern_Distr.html
BarO'Beer,"Большая Московская, 9, Санкт-Петербург 191002 Россия",0.5951219512195122,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12128625-Reviews-BarO_Beer-St_Petersburg_Northwestern_District.html
Дженга Бар,"ул.Кораблестроителей 32/3 Вход с Флагманской улицы, Санкт-Петербург 199397 Россия",0.5502873563218391,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14769175-Reviews-Jenga_Bar-St_Petersburg_Northwestern_District.html
Небарщи,"Ковенский переулок, 22, Санкт-Петербург 191014 Россия",0.6971935007385525,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14096202-Reviews-Nebarshhi-St_Petersburg_Northwestern_District.html
Illi Lounge Bar,"ул. Красного Курсанта, 5/11, Санкт-Петербург Россия",0.0,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d11797733-Reviews-Illi_Lounge_Bar-St_Petersburg_Northwestern_District.html
Республика Кофе,"Московский пр., д. 206, Санкт-Петербург 196066 Россия",0.6625,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d3775311-Reviews-Republic_Of_Coffee-St_Petersburg_Northwestern_District.html
